MediaName,ReleaseYear,Genres
Toy Story 4,2019,"Family, Adventure"
The Lord of the Rings: The Return of the King,2003,"Adventure, Fantasy"
Life Is Beautiful,1997,"Comedy, Drama"
X-Men Origins: Wolverine,2009,"Adventure, Action"
Captain America: Civil War,2016,"Adventure, Action"
Thor: Ragnarok,2017,"Action, Adventure"
Interstellar,2014,"Adventure, Drama"
Shrek,2001,"Animation, Comedy"
The Shining,1980,"Horror, Thriller"
Madagascar,2005,"Family, Animation"
Back to the Future Part II,1989,"Adventure, Comedy"
Top Gun: Maverick,2022,"Action, Drama"
A Quiet Place,2018,"Horror, Drama"
Gone Girl,2014,"Mystery, Thriller"
Donnie Darko,2001,"Fantasy, Drama"
Harry Potter and the Order of the Phoenix,2007,"Adventure, Fantasy"
Batman v Superman: Dawn of Justice,2016,"Action, Adventure"
Catch Me If You Can,2002,"Drama, Crime"
Jumanji,1995,"Adventure, Fantasy"
Moana,2016,"Adventure, Comedy"
Pan's Labyrinth,2006,"Fantasy, Drama"
Kung Fu Panda,2008,"Action, Adventure"
The Truman Show,1998,"Comedy, Drama"
Shang-Chi and the Legend of the Ten Rings,2021,"Action, Adventure"
Alice in Wonderland,2010,"Family, Fantasy"
(500) Days of Summer,2009,"Comedy, Drama"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Adventure, Fantasy"
Shrek 2,2004,"Animation, Family"
Your Name.,2016,"Animation, Romance"
The Prestige,2006,"Drama, Mystery"
Divergent,2014,"Action, Adventure"
Sherlock Holmes,2009,"Action, Adventure"
Return of the Jedi,1983,"Adventure, Action"
Zodiac,2007,"Crime, Drama"
The Shape of Water,2017,"Drama, Fantasy"
The Notebook,2004,"Romance, Drama"
Pirates of the Caribbean: At World's End,2007,"Adventure, Fantasy"
Kingsman: The Secret Service,2015,"Crime, Comedy"
The Amazing Spider-Man,2012,"Action, Adventure"
Cars,2006,"Animation, Adventure"
Watchmen,2009,"Mystery, Action"
The Hateful Eight,2015,"Drama, Mystery"
Now You See Me,2013,"Thriller, Crime"
Black Widow,2021,"Action, Adventure"
Spirited Away,2001,"Animation, Family"
"I, Robot",2004,"Action, Science Fiction"
Saving Private Ryan,1998,"Drama, History"
The Conjuring,2013,"Horror, Thriller"
A Bug's Life,1998,"Family, Animation"
Cast Away,2000,"Adventure, Drama"
Forrest Gump,1994,"Comedy, Drama"
Men in Black,1997,"Action, Adventure"
"Monsters, Inc.",2001,"Animation, Comedy"
Arrival,2016,"Drama, Science Fiction"
Captain America: The Winter Soldier,2014,"Action, Adventure"
Spider-Man 3,2007,"Action, Adventure"
Edward Scissorhands,1990,"Fantasy, Drama"
Shutter Island,2010,"Drama, Thriller"
V for Vendetta,2006,"Action, Thriller"
Drive,2011,"Drama, Thriller"
American Psycho,2000,"Thriller, Drama"
A Star Is Born,2018,"Music, Drama"
Incredibles 2,2018,"Action, Adventure"
Sherlock Holmes: A Game of Shadows,2011,"Adventure, Action"
I Am Legend,2007,"Drama, Science Fiction"
Harry Potter and the Chamber of Secrets,2002,"Adventure, Fantasy"
Jurassic World,2015,"Action, Adventure"
Doctor Strange,2016,"Action, Adventure"
Black Panther,2018,"Action, Adventure"
Iron Man 2,2010,"Adventure, Action"
Ice Age,2002,"Animation, Comedy"
Schindler's List,1993,"Drama, History"
Blade Runner,1982,"Science Fiction, Drama"
Green Book,2018,"Drama, History"
Snowpiercer,2013,"Action, Science Fiction"
Finding Dory,2016,"Adventure, Animation"
The Hunger Games: Mockingjay - Part 1,2014,"Science Fiction, Adventure"
Up,2009,"Animation, Comedy"
John Wick: Chapter 3 - Parabellum,2019,"Action, Thriller"
Rogue One: A Star Wars Story,2016,"Action, Adventure"
Aliens,1986,"Action, Thriller"
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy"
Gravity,2013,"Science Fiction, Thriller"
The Terminator,1984,"Action, Thriller"
The Da Vinci Code,2006,"Thriller, Mystery"
The Sixth Sense,1999,"Mystery, Thriller"
Venom,2018,"Science Fiction, Action"
Reservoir Dogs,1992,"Crime, Thriller"
Tangled,2010,"Animation, Family"
Avatar,2009,"Action, Adventure"
Braveheart,1995,"Action, Drama"
Star Wars: The Rise of Skywalker,2019,"Adventure, Action"
Star Wars,1977,"Adventure, Action"
The Dark Knight Rises,2012,"Action, Crime"
The Mummy,1999,"Adventure, Action"
Memento,2000,"Mystery, Thriller"
Fast & Furious 6,2013,"Action, Thriller"
WALL·E,2008,"Animation, Family"
The Departed,2006,"Drama, Thriller"
Kong: Skull Island,2017,"Action, Adventure"
X2,2003,"Adventure, Action"
Howl's Moving Castle,2004,"Fantasy, Animation"
Oblivion,2013,"Action, Science Fiction"
Star Wars: Episode I - The Phantom Menace,1999,"Adventure, Action"
The Great Gatsby,2013,"Drama, Romance"
The Batman,2022,"Crime, Mystery"
Pulp Fiction,1994,"Thriller, Crime"
Dune,2021,"Science Fiction, Adventure"
How to Train Your Dragon 2,2014,"Fantasy, Action"
Despicable Me,2010,"Animation, Family"
Life of Pi,2012,"Adventure, Drama"
Ocean's Eleven,2001,"Thriller, Crime"
The Imitation Game,2014,"History, Drama"
Beauty and the Beast,2017,"Family, Fantasy"
The Wolf of Wall Street,2013,"Crime, Drama"
The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Fantasy"
American Sniper,2014,"War, Action"
Shazam!,2019,"Action, Comedy"
Hidden Figures,2016,"Drama, History"
Zombieland,2009,"Comedy, Horror"
Fantastic Beasts: The Crimes of Grindelwald,2018,"Fantasy, Adventure"
Murder on the Orient Express,2017,"Mystery, Drama"
Deadpool,2016,"Action, Adventure"
Rise of the Planet of the Apes,2011,"Thriller, Action"
Spider-Man 2,2004,"Action, Adventure"
The Martian,2015,"Drama, Adventure"
Independence Day,1996,"Action, Adventure"
Bohemian Rhapsody,2018,"Music, Drama"
21 Jump Street,2012,"Action, Comedy"
Into the Wild,2007,"Adventure, Drama"
Pacific Rim,2013,"Action, Science Fiction"
