MediaName,ReleaseYear,Genres
Ratched,2020,"Mystery, Drama"
X-Men,1992,"Kids, Sci-Fi & Fantasy"
Penny Dreadful,2014,"Sci-Fi & Fantasy, Drama"
Bates Motel,2013,"Drama, Crime"
9-1-1: Lone Star,2020,"Drama, Action & Adventure"
Shōgun,2024,"Drama, War & Politics"
Raised by Wolves,2020,"Sci-Fi & Fantasy, Drama"
Drawn Together,2004,"Animation, Comedy"
Mr. Bean,1990,"Comedy, Family"
Blindspot,2015,"Crime, Drama"
Haikyu!!,2014,"Animation, Action & Adventure"
How to Get Away with Murder,2014,"Crime, Drama"
Lost,2004,"Mystery, Action & Adventure"
Rome,2005,"Action & Adventure, Drama"
DC's Legends of Tomorrow,2016,"Action & Adventure, Sci-Fi & Fantasy"
La Brea,2021,"Sci-Fi & Fantasy, Drama"
Bones,2005,"Crime, Drama"
Locked Up,2015,"Drama, Crime"
The Wheel of Time,2021,"Sci-Fi & Fantasy, Drama"
Killing Eve,2018,"Crime, Drama"
Game of Thrones,2011,"Sci-Fi & Fantasy, Drama"
Marvel's The Defenders,2017,"Sci-Fi & Fantasy, Action & Adventure"
The Falcon and the Winter Soldier,2021,"Action & Adventure, Drama"
True Beauty,2020,"Comedy, Drama"
Malcolm in the Middle,2000,"Family, Comedy"
Gossip Girl,2007,"Drama, Mystery"
My Hero Academia,2016,"Action & Adventure, Animation"
Over the Garden Wall,2014,"Mystery, Sci-Fi & Fantasy"
Station 19,2018,"Drama, Action & Adventure"
Sherlock,2010,"Crime, Drama"
Parasyte -the maxim-,2014,"Animation, Drama"
She-Hulk: Attorney at Law,2022,"Comedy, Sci-Fi & Fantasy"
We Bare Bears,2015,"Family, Comedy"
The Purge,2018,"Mystery, Crime"
Sweet Tooth,2021,"Drama, Sci-Fi & Fantasy"
It's Okay to Not Be Okay,2020,"Drama, Comedy"
Star Trek,1966,"Sci-Fi & Fantasy, Drama"
Only Murders in the Building,2021,"Comedy, Mystery"
The Walking Dead: World Beyond,2020,"Drama, Sci-Fi & Fantasy"
Charmed,1998,"Comedy, Drama"
Taboo,2017,"Drama, Mystery"
Bleach,2004,"Action & Adventure, Animation"
The Originals,2013,"Sci-Fi & Fantasy, Drama"
The Haunting of Bly Manor,2020,"Mystery, Drama"
Manifest,2018,"Sci-Fi & Fantasy, Mystery"
Tokyo Ghoul,2014,"Animation, Drama"
White Collar,2009,"Crime, Drama"
Love Is in the Air,2020,"Drama, Comedy"
Grimm,2011,"Drama, Mystery"
Teresa,2010,"Soap, Drama"
Dr. STONE,2019,"Action & Adventure, Animation"
The Umbrella Academy,2019,"Action & Adventure, Sci-Fi & Fantasy"
Star Trek: Picard,2020,"Sci-Fi & Fantasy, Action & Adventure"
Naruto Shippūden,2007,"Animation, Action & Adventure"
The Rain,2018,"Sci-Fi & Fantasy, Drama"
Without Breasts There Is No Paradise,2008,"Action & Adventure, Drama"
The Expanse,2015,"Drama, Mystery"
Locke & Key,2020,"Sci-Fi & Fantasy, Drama"
The Mandalorian,2019,"Sci-Fi & Fantasy, Action & Adventure"
Arcane,2021,"Animation, Sci-Fi & Fantasy"
Kakegurui,2017,"Animation, Mystery"
Star vs. the Forces of Evil,2015,"Action & Adventure, Animation"
Battlestar Galactica,2004,"Sci-Fi & Fantasy, Action & Adventure"
Black Mirror,2011,"Sci-Fi & Fantasy, Drama"
Marvel's Agent Carter,2015,"Drama, Sci-Fi & Fantasy"
Pretty Little Liars,2010,"Drama, Mystery"
The Mentalist,2008,"Crime, Drama"
The Strain,2014,"Sci-Fi & Fantasy, Drama"
Wednesday,2022,"Sci-Fi & Fantasy, Mystery"
Fullmetal Alchemist: Brotherhood,2009,"Action & Adventure, Animation"
"Love, Victor",2020,"Comedy, Drama"
InuYasha,2000,"Animation, Sci-Fi & Fantasy"
Scream: The TV Series,2015,"Drama, Crime"
Band of Brothers,2001,"Drama, War & Politics"
